Timestamp,Machine_ID,Machine_Type,Power_kW,Energy_kWh,Voltage_V,Current_A,Temperature_C,Vibration_mm_s,RPM,Operating_Hours,Production_Units,Production_Target,Machine_Status,Ground_Truth,Anomaly_Type,Tariff_Rs_per_kWh,Peak_OffPeak,Maintenance_Status,Rated_Power_kW,Nominal_Power_kW,Expected_Idle_Power_kW,Nominal_Temp_C,Nominal_Vib_mm_s,Nominal_RPM,Load_Ratio,Production_SEC,SEC_Proxy,Temp_Elevation,Temp_1h_Rolling_Mean,Excess_Idle_Power,Vib_Elevation,RPM_Drop,ISO_Vib_Zone,Vib_to_Power_Ratio,Energy_Cost_Rs
2026-01-01 00:00:00,COMPRESSOR_01,Air Compressor,32.568,8.142,415.2,51.46,71.74,2.462,2945.4,2686.27,209.22,210.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD,45.0,38.0,16.0,75.0,2.2,2950.0,0.724,0.039,0.039,-3.26,71.74,0.0,0.262,4.6,ZONE_B_SATISFACTORY,0.0733,44.78
2026-01-01 00:00:00,HVAC_01,HVAC System,40.137,10.0342,416.5,63.22,41.16,1.762,983.6,3007.49,1143.89,1200.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD,60.0,48.0,15.0,45.0,1.6,980.0,0.669,0.009,0.009,-3.84,41.16,0.0,0.162,0.0,ZONE_A_GOOD,0.0428,55.19
2026-01-01 00:00:00,MOTOR_01,Spinning Motor,38.354,9.5885,412.7,60.97,58.34,1.878,1486.2,2762.43,45.55,48.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD,55.0,45.0,12.0,62.0,1.8,1485.0,0.697,0.211,0.211,-3.66,58.34,0.0,0.078,0.0,ZONE_A_GOOD,0.0477,52.74
2026-01-01 00:00:00,PUMP_01,Water Pump,17.494,4.3735,414.4,27.7,47.28,1.457,1444.5,2605.2,26.95,28.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD,22.0,18.0,4.5,52.0,1.4,1450.0,0.795,0.162,0.162,-4.72,47.28,0.0,0.057,5.5,ZONE_A_GOOD,0.0788,24.05
2026-01-01 00:15:00,COMPRESSOR_01,Air Compressor,32.111,8.0278,416.0,50.64,70.03,2.281,2950.6,2686.52,207.83,210.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD,45.0,38.0,16.0,75.0,2.2,2950.0,0.714,0.039,0.039,-4.97,70.88,0.0,0.081,0.0,ZONE_A_GOOD,0.0689,44.15
2026-01-01 00:15:00,HVAC_01,HVAC System,41.046,10.2615,411.5,65.44,40.27,1.701,982.9,3007.74,1150.57,1200.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD,60.0,48.0,15.0,45.0,1.6,980.0,0.684,0.009,0.009,-4.73,40.72,0.0,0.101,0.0,ZONE_A_GOOD,0.0405,56.44
2026-01-01 00:15:00,MOTOR_01,Spinning Motor,36.833,9.2082,409.7,58.98,56.02,1.874,1489.7,2762.68,42.83,48.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD,55.0,45.0,12.0,62.0,1.8,1485.0,0.67,0.215,0.215,-5.98,57.18,0.0,0.074,0.0,ZONE_A_GOOD,0.0495,50.65
2026-01-01 00:15:00,PUMP_01,Water Pump,16.27,4.0675,417.1,25.59,47.85,1.547,1451.3,2605.45,25.26,28.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD,22.0,18.0,4.5,52.0,1.4,1450.0,0.74,0.161,0.161,-4.15,47.56,0.0,0.147,0.0,ZONE_A_GOOD,0.0896,22.37
2026-01-01 00:30:00,COMPRESSOR_01,Air Compressor,34.505,8.6262,417.4,54.24,71.86,2.427,2940.9,2686.77,218.01,210.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD,45.0,38.0,16.0,75.0,2.2,2950.0,0.767,0.04,0.04,-3.14,71.21,0.0,0.227,9.1,ZONE_B_SATISFACTORY,0.0684,47.44
2026-01-01 00:30:00,HVAC_01,HVAC System,42.236,10.559,414.2,66.9,40.47,1.807,984.9,3007.99,1197.02,1200.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD,60.0,48.0,15.0,45.0,1.6,980.0,0.704,0.009,0.009,-4.53,40.63,0.0,0.207,0.0,ZONE_A_GOOD,0.0418,58.07
2026-01-01 00:30:00,MOTOR_01,Spinning Motor,39.228,9.807,417.4,61.66,58.08,1.94,1494.9,2762.93,46.35,48.0,RUNNING_OPTIMAL,0,NORMAL,5.5,OFF_PEAK,GOOD,55.0,45.0,12.0,62.0,1.8,1485.0,0.713,0.212,0.212,-3.92,57.48,0.0,0.14,0.0,ZONE_A_GOOD,0.0482,53.94
